grant_call,closing_date,total_grants_awarded
7/2010 Scenario-based Competitive Research Programme (CRP) Call,2011-03-28,29590795
(for invited proposals only) EWI Open Call 10/02 for Water Technologies,2011-06-09,1769100
Directed Call for Proposals on Thin Silicon Wafers for Photovoltaic Cells and Proposals on Photovoltaic System Cost Reduction,2010-09-13,7967000
6/2010 General Competitive Research Programme (CRP) call (2nd stage - Full Proposal),2010-10-15,46963921
Directed Request for Proposal (RFP) on Industry-Led Research (for resubmissions only),2011-03-14,0
NRF Proof-of-Concept (POC) 5th Grant Call,2011-01-26,2892102
Call for Research Proposals on Biomimicry of Natural Desalination Processes (EWI RFP 09/02),2009-12-09,4626763
EWI Challenge RFP 10/01 on Energy Self-Sufficiency in Wastewater Treatment,2010-04-27,3347899
NRF Proof-of-Concept (POC) 4th Grant Call,2010-07-14,3871559
Research Programme Call in the Development of Technology Roadmaps (EWI RFP 09/01) (for Short-listed Applicants only),2009-04-30,0
5/2009 Scenario-based Competitive Research Programme (CRP) Call ** For short-listed Proposals only,2009-09-29,0
Directed Call for Proposals on Improving Solar Cell Efficiency and Proposals on Storage Systems for Renewable Energy (CERP RFP 03),2009-10-13,13086990
NRF Proof-of-Concept (POC) Call For Proposal 3/2009,2009-11-18,2276778
Stage 2 - EWI Challenge RFP 08/03 (For Short-listed Applicant Only),2009-03-05,5053751
Call for Research Proposals on Biomimetic Membranes (EWI RFP 08/04),2008-11-19,7461233
4/2008 General Competitive Research Programme (CRP) call,2009-03-31,50351033
3rd FutureSchools@Singapore Call for Proposals,2009-04-26,5154680
Directed Call for Proposals on Novel Roof-mounted Solar Harvesting Devices and Systems for the Tropical Region (CERP RFP 02),2009-01-04,14909760
NRF Research Fellowships 2008,2008-09-30,21949984
Call for Research Proposals in the Chemical Redox Domain (EWI RFP 08/02),2008-04-11,7509180
Call for Research Proposals in Biological Processes Domain (EWI RFP 08/01),2008-04-11,9674635
EWI Challenge RFP 07/01 (For awarded proposal to finalise),2008-04-21,5531000
NRF Proof-of-Concept (POC) Call For Proposal 1/2008,2008-11-13,2145900
NRF IDM CFP2 - R&D in Interactive Digital Media,2008-07-15,17914196
3/2008 Scenario-based Competitive Research Programme (CRP) Call,2008-10-22,0
Research & Development Programme on Interactive and Digital Media in Education: 3rd Call for Proposals,2008-05-06,7439608
1/2007 General Competitive Research Programme (CRP) Call,2007-06-12,0
2/2007 General Competitive Research Program (CRP) Call,2008-03-07,33934169
Clean Energy Research Programme (CERP),2008-01-31,10123326
2nd FutureSchools@Singapore Call for Proposals,2007-11-05,19411876
Translational and Clinical Research (TCR) Flagship Program (Cancer),2008-01-14,0
Research & Development Programme on Interactive and Digital Media in Education: 2nd Call for Proposals,2007-10-12,3472000
1/2007 General Competitive Research Programme (CRP) Call,2007-06-12,0
NRF Research Fellowships,2007-09-15,24357644
"Interactive Digital Media: Animation, Games & Effects, ""On-the-Move"" Technologies, Media Intermediary (""Mediary"") Services, and Social Impact",2007-03-23,21162097
1st FutureSchools@Singapore Call for Proposals,2007-08-07,0
Research & Development on Interactive Digital Media in Education,2007-04-10,3230734
