Id,audit_year,Country,Hospital.Site,Hospital.Beds..HC.,Diabetic.Patients..BA.,Prevalence.of.diabetes,Percentage.White,Percentage.emergency,Percentage.Mangement.of.diabetes,Percentage.other.medical,Percentage.Non.Medical,Percentage.Diabetes.Type.1,Percentage.Diabetes.Type.2...Insulin,Percentage.Diabetes.Type.2...Non.insulin,Percentage.Diabetes.Type.2...Diet.only,Percentage.Diabetes.Type.Other,Nursing.hours,Consultant.hours,Dietician.hours,Podiatrist.hours,Blood.Glucose.monitoring.Days,Appropriate.Days,Good.Diabetes.Days,Visit.by.specialist.diabetes.team,Medication.errors,prescription.errors,management.errors,Insulin.Errors,Admitted.with.foot.disease,Seen.by.the.MDT.within.24.hours,Foot.Risk.Assessment.completed.within.24.hours,Foot.Risk.Assessment.completed.during.the.hospital.stay,X..Severe.Hypo,X..Minor.Hypo,Meals.Suitable,Meals.Timing,Meals.Choice,Staff.Knowledge...Answer.Qs,Staff.Knowledge...Emotional.support,Staff.Knowledge...Work.together,Overall.Satisfaction,Patient.reported.unexpected.high,Patient.reported.unexpected.low,Able.to.take.control.of.diabetes.care,Staff.aware.of.diabetes,some.all.or.most.staff.know.enough.about.diabetes,Percentage.renal.replacement.therapy
17,2011,England,Hospital,197,26,0.132,1,0.96,0.16,0.68,0.16,0.077,0.5,0.269,0.154,0,0.69,0.19,0.23,0.11,6.71,5.87,3.51,0.385,0.304,0.217,0.174,0.304,0.208,0.75,0.462,0.788,0.231,0.423,1,1,1,1,1,1,1,0,0,1,1,1,0
18,2011,England,Hospital,219,32,0.146,0.968,0.844,0.125,0.625,0.25,0.125,0.438,0.188,0.25,0,1.52,0.31,0.03,0.09,7,6.92,4.13,0.281,0.406,0.344,0.219,0.375,0.031,1,0.156,0.278,0.156,0.25,0.833,0.783,0.818,0.563,0.875,0.56,0.76,0.167,0.25,0.522,0.84,0.667,0
19,2011,England,Hospital,275,46,0.167,0.935,0.889,0.174,0.587,0.239,0.13,0.261,0.391,0.217,0,0.7,0.26,0,0.03,6.69,6.14,3.39,0.333,0.314,0.2,0.2,0.2,0.146,0.667,0.205,0.886,0.087,0.304,1,0.913,0.739,0.667,0.933,0.609,1,0.192,0.192,0.739,0.846,0.696,0
20,2011,England,Hospital,421,86,0.204,0.976,0.918,0.093,0.686,0.221,0.105,0.267,0.477,0.14,0.012,0.72,0.07,0.19,0.26,6.77,6.75,4.35,0.523,0.225,0.188,0.075,0.088,0.095,0.571,0.467,0.258,0.186,0.36,1,0.875,0.833,0.867,0.929,0.545,0.957,0.167,0.208,0.826,0.875,0.783,0.024
21,2011,England,Hospital,543,71,0.131,0.986,0.887,0.086,0.7,0.214,0.072,0.275,0.464,0.188,0,0.96,0.45,0.1,0.06,6.78,6.43,3.66,0.314,0.465,0.394,0.141,0.225,0.101,0.714,0.353,0.188,0.197,0.296,0.776,0.721,0.659,0.464,0.857,0.521,0.796,0.347,0.265,0.643,0.76,0.694,0.029
22,2011,England,Hospital,406,69,0.17,0.985,0.912,0.043,0.754,0.203,0.059,0.309,0.309,0.309,0.015,0.45,0.07,0.04,0.03,6.7,5.66,3.69,0.379,0.365,0.333,0.175,0.222,0.091,0,0.14,0.446,0.087,0.29,1,0.824,0.857,0.75,0.6,0.471,0.833,0.118,0.176,0.588,0.778,0.778,0
23,2011,England,Hospital,398,71,0.178,0.723,0.944,0.086,0.757,0.157,0,0.246,0.623,0.13,0,0.03,0.24,0.01,0.03,6.72,6.69,4.37,0.242,0.277,0.092,0.2,0.077,0.088,0.25,0.9,0.899,0.085,0.268,0.909,0.8,0.667,0.611,0.9,0.342,0.868,0.361,0.278,0.559,0.917,0.694,0
24,2011,England,Hospital,351,44,0.125,0.93,0.907,0.07,0.767,0.163,0.093,0.302,0.349,0.233,0.023,1.36,0.18,0.08,0.27,6.98,5.89,4.14,0.262,0.342,0.237,0.158,0.211,0.132,0.8,0.263,0.278,0.227,0.25,0.615,0.5,0.333,0.25,0.375,0.182,0.583,0.154,0.231,0.818,0.923,0.385,0.023
25,2011,England,Hospital,562,81,0.144,0.962,0.873,0.101,0.709,0.19,0.05,0.438,0.375,0.138,0,0.12,0.15,0.03,0.56,6.96,6.9,3.85,0.382,0.361,0.264,0.181,0.222,0.08,0.167,0.071,0.73,0.111,0.321,0.952,0.895,0.778,0.333,0.714,0.5,0.95,0.4,0.5,0.5,0.81,0.714,0.05
26,2011,England,Site,543,91,0.168,0.989,0.889,0.067,0.652,0.281,0.07,0.267,0.349,0.291,0.023,0.31,0.04,0.13,0.07,6.14,5.94,3.9,0.284,0.089,0.089,0,0.051,0.108,0.286,0.359,0.187,0.099,0.242,0.877,0.896,0.788,0.611,0.914,0.386,0.864,0.121,0.207,0.653,0.845,0.719,0.035
27,2011,England,Hospital,463,55,0.119,0.982,0.818,0.093,0.648,0.259,0.036,0.164,0.455,0.345,0,1.36,0.65,0.24,0.33,6.58,6.54,4.06,0.527,0.283,0.226,0.113,0.113,0.178,0.333,0.222,0.42,0.073,0.255,0.909,0.909,0.818,0.625,1,0.409,0.762,0.273,0.136,0.714,0.864,0.591,0
28,2011,England,Hospital,284,47,0.165,0.979,0.911,0.064,0.723,0.213,0.043,0.298,0.34,0.319,0,2.36,0.34,0.79,1.57,6.68,6.38,4.27,0.489,0.196,0.087,0.109,0.087,0.024,1,0.023,0.204,0.064,0.149,0.786,0.643,0.533,0.571,0.583,0.462,0.8,0.333,0.133,0.867,0.813,0.375,0
29,2011,England,Hospital,504,66,0.131,1,0.836,0.143,0.619,0.238,0.048,0.349,0.444,0.159,0,1.11,0.36,0.11,0.16,6.68,5.88,3.42,0.297,0.408,0.327,0.143,0.245,0.154,0.5,0.053,0.345,0.061,0.106,0.895,0.889,0.889,0.929,1,0.737,0.947,0.263,0.158,0.6,0.947,0.789,0.031
30,2011,England,Site,1010,110,0.109,0.731,0.876,0.121,0.692,0.187,0.028,0.402,0.458,0.112,0,1.78,0.44,0.11,0.04,6.6,6.24,4.28,0.262,0.322,0.161,0.207,0.218,0.06,1,0.149,0.175,0.082,0.1,0.619,0.619,0.571,0.556,0.778,0.364,0.95,0.136,0.182,0.857,0.864,0.545,0.01
31,2011,England,Hospital,441,61,0.138,0.984,0.885,0.098,0.705,0.197,0.067,0.233,0.483,0.217,0,0.54,0.49,0.1,0.06,6.04,5.67,3.3,0.136,0.24,0.14,0.12,0.08,0.104,0.2,0.071,0.203,0.082,0.115,1,0.96,0.913,0.833,0.955,0.655,0.966,0.103,0.069,0.708,0.828,0.759,0
32,2011,England,Hospital,498,76,0.153,1,0.882,0.118,0.566,0.316,0.039,0.211,0.395,0.316,0.039,0.53,0.01,0.01,0.05,6.43,5.88,4.12,0.237,0.263,0.132,0.158,0.132,0.122,0.778,0.12,0.194,0.053,0.224,0.898,0.849,0.7,0.259,0.735,0.407,0.881,0.169,0.22,0.68,0.763,0.649,0.013
33,2011,England,Hospital,233,39,0.167,0.611,0.974,0.179,0.538,0.282,0.053,0.316,0.5,0.132,0,0.88,0.51,0.21,0.2,6.82,6.74,4.27,0.143,0.303,0.152,0.182,0.121,0.071,1,0.407,0.206,0.128,0.41,0.95,0.875,0.857,0.615,0.733,0.579,1,0.611,0.5,0.8,0.85,0.632,0.027
34,2011,England,Hospital,543,73,0.134,0.671,0.806,0.11,0.603,0.288,0.014,0.25,0.583,0.153,0,0.16,0.16,0.03,0.16,6.68,6.64,4.38,0.257,0.348,0.188,0.203,0.145,0.085,0.8,0.66,0.678,0.082,0.205,0.714,0.667,0.5,0.348,0.778,0.318,0.711,0.205,0.205,0.743,0.761,0.511,0.014
35,2011,England,Hospital,460,74,0.161,0.986,0.877,0.041,0.548,0.411,0.125,0.319,0.431,0.125,0,0.61,0.27,0.11,0.2,6.74,6.4,4.32,0.386,0.31,0.197,0.183,0.197,0.155,0.667,0.345,0.237,0.041,0.135,0.913,0.886,0.786,0.654,0.806,0.396,0.854,0.2,0.222,0.756,0.854,0.771,0.014
36,2011,England,Hospital,375,62,0.165,0.983,0.903,0.081,0.565,0.355,0.033,0.25,0.517,0.2,0,0.32,0.23,0.24,0.35,6.69,6.5,4.92,0.246,0.228,0.175,0.07,0.053,0.071,0.25,0.071,0.069,0.081,0.097,0.944,0.722,0.765,0.6,0.833,0.389,1,0.263,0.158,0.857,1,0.667,0.016
37,2011,England,Hospital,473,77,0.163,0.987,0.855,0.132,0.605,0.263,0.078,0.325,0.429,0.169,0,0.27,0.3,0,0.08,6.88,6.52,4.56,0.227,0.368,0.191,0.265,0.191,0.119,0.8,0.672,0.5,0.091,0.195,0.867,0.711,0.689,0.529,0.828,0.553,0.88,0.342,0.447,0.737,0.96,0.75,0
38,2011,England,Hospital,397,72,0.181,1,0.887,0.113,0.746,0.141,0.029,0.456,0.265,0.25,0,0.72,0.15,0.03,0.03,6.8,6.19,3.13,0.371,0.271,0.017,0.254,0.186,0.119,0.429,0.119,0.306,0.056,0.139,0.794,0.788,0.853,0.517,0.893,0.425,0.927,0.333,0.128,0.722,0.875,0.725,0.014
39,2011,England,Hospital,815,113,0.139,0.982,0.736,0.093,0.574,0.333,0.155,0.364,0.273,0.136,0.073,0.27,0.23,0.1,0.04,6.74,6.09,3.55,0.215,0.371,0.247,0.225,0.337,0.184,0.357,0.233,0.368,0.08,0.177,1,1,0.667,1,1,0.667,1,0.25,0.25,1,1,1,0.068
40,2011,England,Hospital,547,75,0.137,0.986,0.726,0.093,0.68,0.227,0.125,0.306,0.375,0.181,0.014,0.85,0.16,0,0,6.62,6.35,3.64,0.253,0.507,0.435,0.159,0.217,0.09,0.5,0.119,0.305,0.107,0.227,0.952,0.872,0.833,0.818,0.962,0.683,0.902,0.286,0.31,0.711,0.927,0.769,0.081
41,2011,England,Hospital,951,121,0.127,0.931,0.712,0.042,0.65,0.308,0.059,0.269,0.454,0.176,0.042,0.32,0.04,0.22,0.05,6.61,6.35,3.89,0.175,0.423,0.279,0.26,0.26,0.073,0.875,0.083,0.227,0.025,0.215,0.815,0.623,0.689,0.431,0.706,0.431,0.877,0.185,0.231,0.579,0.797,0.603,0
42,2011,England,Site,1472,253,0.172,0.924,0.774,0.075,0.611,0.313,0.06,0.321,0.357,0.242,0.02,1.04,0.43,0.06,0.54,6.49,6.24,4.14,0.374,0.329,0.196,0.205,0.183,0.088,0.824,0.109,0.243,0.083,0.186,0.86,0.802,0.691,0.629,0.839,0.486,0.856,0.246,0.261,0.677,0.849,0.707,0.049
43,2011,England,Hospital,710,112,0.158,0.972,0.813,0.098,0.67,0.232,0.125,0.384,0.348,0.134,0.009,0.55,0.32,0.01,0,6.47,6.08,3.36,0.394,0.35,0.17,0.24,0.2,0.104,1,0.216,0.267,0.063,0.196,0.795,0.667,0.548,0.462,0.864,0.356,0.891,0.227,0.432,0.738,0.978,0.689,0.1
44,2011,England,Hospital,258,42,0.163,1,0.902,0.15,0.625,0.225,0.111,0.5,0.306,0.083,0,0.85,0.05,0.17,0.16,6.5,6.19,4.06,0.325,0.333,0.233,0.167,0.233,0.111,1,0.393,0.879,0.143,0.286,0.722,0.842,0.667,0.615,0.824,0.429,0.857,0.45,0.5,0.647,0.85,0.727,0
45,2011,England,Hospital,505,66,0.131,0.922,0.785,0.076,0.803,0.121,0.111,0.349,0.46,0.079,0,1.42,0.12,0.02,0.35,6.78,5.73,4.12,0.646,0.3,0.1,0.217,0.15,0.052,0.333,0.034,0.136,0.106,0.303,0.9,0.784,0.816,0.533,0.9,0.512,0.875,0.368,0.342,0.778,0.925,0.675,0.047
46,2011,England,Hospital,438,99,0.226,0.74,0.781,0.121,0.606,0.273,0.053,0.453,0.347,0.137,0.011,0.7,0.1,0,0.18,6.51,6.32,4.05,0.229,0.272,0.136,0.21,0.148,0.105,0.5,0.131,0.286,0.051,0.182,0.719,0.685,0.569,0.595,0.782,0.484,0.853,0.234,0.219,0.552,0.879,0.825,0.011
47,2011,England,Hospital,352,65,0.185,0.719,0.859,0.092,0.769,0.138,0.032,0.587,0.222,0.095,0.063,1.12,0.37,0.29,0.25,6.82,6.02,3.47,0.292,0.3,0.117,0.217,0.117,0.07,0.25,0.07,0.24,0.062,0.138,0.9,1,0.556,0.667,0.857,0.556,0.889,0.375,0,0.556,0.9,0.5,0.015
48,2011,England,Site,294,31,0.105,0.567,0.833,0.067,0.733,0.2,0.161,0.258,0.516,0.065,0,0.65,0.32,0.01,0,6.74,6.44,4.28,0.067,0.276,0.241,0.034,0.207,0.154,1,0.115,0.32,0.065,0.161,0.913,0.81,0.667,0.615,0.923,0.409,0.826,0.182,0.409,0.5,0.957,0.826,0.032
49,2011,England,Hospital,185,29,0.157,1,0.862,0.138,0.621,0.241,0.143,0.393,0.25,0.214,0,1.91,0.55,0,0.14,6.88,6.58,4.22,0.31,0.345,0.207,0.172,0.241,0.071,0,0.077,0.119,0.069,0.207,0.95,0.722,0.75,0.786,0.9,0.714,0.905,0.167,0.167,0.706,1,0.842,0
50,2011,England,Site,771,124,0.161,0.943,0.851,0.105,0.685,0.21,0.099,0.372,0.347,0.182,0,0.36,0.06,0.08,0.15,6.42,6.01,3.77,0.217,0.333,0.219,0.228,0.175,0.105,0.5,0.185,0.252,0.169,0.226,0.884,0.828,0.726,0.667,0.889,0.585,0.894,0.269,0.194,0.681,0.947,0.737,0.033
51,2011,England,Hospital,295,45,0.153,0.978,0.978,0.07,0.674,0.256,0.067,0.178,0.533,0.222,0,0.71,0.27,0.33,0.07,6.78,5.57,3.87,0.267,0.333,0.205,0.179,0.179,0.073,0,0.049,0.03,0.133,0.244,0.96,0.957,0.909,0.833,0.95,0.654,0.962,0.407,0.259,0.708,0.926,0.8,0
52,2011,England,Hospital,281,51,0.181,0.98,0.82,0.02,0.784,0.196,0.059,0.294,0.412,0.216,0.02,0.59,0.31,0.08,0.06,6.3,5.91,3.79,0.529,0.265,0.143,0.143,0.143,0.043,0,0.106,0.14,0.059,0.176,0.929,0.864,0.864,0.368,0.905,0.714,0.867,0.138,0.31,0.69,0.862,0.724,0
53,2011,England,Hospital,286,49,0.171,1,0.898,0.082,0.531,0.388,0.102,0.551,0.143,0.204,0,0.09,0.27,0.07,0.15,6.63,6.23,4.54,0.082,0.298,0.277,0.17,0.191,0.045,0,0.116,0.122,0.102,0.163,0.889,0.857,0.731,0.733,0.875,0.433,0.839,0.143,0.143,0.759,0.806,0.643,0
54,2011,England,Hospital,414,70,0.169,1,0.87,0.13,0.652,0.217,0.072,0.246,0.478,0.203,0,0.46,0.09,0.03,0.12,6.81,6.04,5.18,0.544,0.188,0.13,0.087,0.043,0.119,0.857,0.083,0.138,0.114,0.157,0.886,0.929,0.881,0.5,0.882,0.622,0.909,0.178,0.178,0.78,0.844,0.767,0
55,2011,England,Hospital,823,123,0.149,0.573,0.798,0.231,0.639,0.13,0.092,0.394,0.321,0.147,0.046,1.37,0.55,0,0.48,6.83,6.81,4.45,0.66,0.33,0.138,0.202,0.234,0.214,1,0.302,0.356,0.109,0.182,0.774,0.75,0.625,0.583,0.826,0.333,0.719,0.281,0.438,0.552,0.939,0.452,0.056
56,2011,England,Site,560,60,0.107,1,0.967,0.2,0.733,0.067,0.07,0.333,0.491,0.105,0,0.55,0.17,0.03,0.4,6.6,6.52,4.25,0.35,0.273,0.109,0.236,0.164,0.182,1,0.273,0.133,0.083,0.25,0.926,0.76,0.92,0.526,0.833,0.48,0.96,0.296,0.222,0.783,0.821,0.731,0.033
57,2011,England,Hospital,783,113,0.144,0.982,0.872,0.054,0.598,0.348,0.074,0.231,0.519,0.157,0.019,0.58,0.28,0.04,0.04,6.9,6.74,4.98,0.225,0.245,0.206,0.098,0.157,0.109,0.818,0.33,0.254,0.053,0.195,0.944,0.882,0.8,0.571,0.926,0.481,0.836,0.302,0.208,0.75,0.87,0.685,0.064
58,2011,England,Hospital,904,128,0.142,0.81,0.833,0.056,0.651,0.294,0.039,0.492,0.328,0.125,0.016,0.13,0.05,0.02,0.02,6.66,6.2,3.88,0.16,0.364,0.256,0.19,0.198,0.149,0.1,0.08,0.266,0.102,0.227,0.848,0.762,0.714,0.519,0.75,0.227,0.87,0.174,0.109,0.757,0.804,0.667,0.024
59,2011,England,Hospital,134,16,0.119,0.75,0.933,0.2,0.667,0.133,0,0.375,0.5,0.125,0,0.25,0.5,0.94,0.07,7,6.19,4.43,0.5,0.125,0.063,0.063,0.063,0,0,0,0.286,0.063,0.313,0.75,1,0.75,0,0.5,0.25,1,0,0,1,0.75,1,0
60,2011,England,Hospital,736,54,0.073,0.769,0.796,0.132,0.604,0.264,0.075,0.415,0.302,0.208,0,2.2,0.56,0.28,0.09,6.77,6.41,4.1,0.717,0.449,0.408,0.245,0.408,0.059,0.667,0.216,0.365,0.074,0.222,0.692,0.833,0.75,0.667,0.818,0.769,0.846,0.231,0.077,0.615,1,0.769,0.019
61,2011,England,Hospital,712,116,0.163,0.973,0.892,0.096,0.711,0.193,0.044,0.36,0.386,0.211,0,0.69,0.24,0.03,0.14,6.77,6.58,3.4,0.113,0.409,0.309,0.209,0.236,0.058,0.5,0.076,0.164,0.069,0.155,0.88,0.824,0.636,0.667,0.86,0.347,0.776,0.382,0.25,0.629,0.91,0.688,0.035
62,2011,England,Hospital,272,60,0.221,0.949,0.932,0.033,0.7,0.267,0.017,0.345,0.431,0.19,0.017,0.43,0.08,0.02,0.13,6.84,6.33,4.41,0.339,0.273,0.2,0.109,0.164,0.098,0.6,0.059,0.293,0.083,0.217,0.885,0.816,0.766,0.607,0.974,0.635,0.925,0.302,0.321,0.673,0.904,0.755,0
63,2011,England,Hospital,852,120,0.141,0.991,0.863,0.085,0.658,0.256,0.093,0.237,0.441,0.22,0.008,0.62,0.5,0.07,1.3,6.81,6.5,3.37,0.219,0.364,0.227,0.236,0.145,0.11,0.25,0.238,0.421,0.175,0.308,0.923,0.783,0.667,0.417,0.833,0.346,0.833,0.2,0.4,0.565,0.962,0.615,0.033
64,2011,England,Hospital,832,97,0.117,0.918,0.763,0.021,0.639,0.34,0.062,0.289,0.371,0.216,0.062,0.85,0.07,0,0.05,6.78,6.21,4.43,0.229,0.402,0.354,0.183,0.244,0.087,0.5,0.105,0.168,0.072,0.165,0.859,0.859,0.739,0.711,0.848,0.543,0.886,0.3,0.243,0.721,0.861,0.803,0.011
65,2011,England,Hospital,575,74,0.129,0.932,0.648,0.07,0.704,0.225,0.056,0.352,0.451,0.127,0.014,1.26,0.03,0.15,0.32,6.73,6.22,3.47,0.735,0.329,0.114,0.229,0.2,0.059,0.25,0.783,0.161,0.122,0.243,0.962,0.731,0.76,0.583,0.941,0.5,0.964,0.28,0.28,0.583,0.962,0.76,0.125
66,2011,England,Hospital,234,38,0.162,0.973,1,0.053,0.921,0.026,0.053,0.342,0.395,0.211,0,0.16,0.53,0.08,0.11,5.72,5.3,3.12,0.378,0.158,0.105,0.132,0.105,0.057,1,0.143,0.236,0.105,0.289,0.909,0.8,0.727,0.6,1,0.273,0.727,0.182,0.455,0.889,1,0.7,0
67,2011,England,Hospital,401,64,0.16,1,0.887,0.081,0.726,0.194,0.017,0.31,0.31,0.362,0,0.42,0.24,0.03,0.08,7,6.39,5.08,0.143,0.233,0.15,0.133,0.167,0.098,0.75,0.059,0.5,0.109,0.219,0.853,0.656,0.594,0.478,0.857,0.441,0.824,0.212,0.273,0.767,0.879,0.706,0.016
68,2011,England,Hospital,287,41,0.143,0.975,0.892,0.1,0.725,0.175,0.073,0.171,0.512,0.244,0,0.66,0.29,0.1,0.01,6.71,6.67,4.84,0.951,0.073,0.024,0.073,0.049,0.111,0.75,0.575,0.273,0.122,0.171,0.969,0.688,0.844,0.588,0.913,0.636,0.939,0.265,0.147,0.828,0.853,0.794,0
69,2011,England,Hospital,479,81,0.169,0.963,0.872,0.177,0.557,0.266,0.051,0.266,0.481,0.203,0,0.56,0.14,0.07,0.23,6.94,6.7,4.17,0.278,0.296,0.113,0.225,0.141,0.209,0.692,0.156,0.397,0.136,0.136,0.813,0.837,0.809,0.462,0.794,0.354,0.84,0.3,0.16,0.745,0.885,0.615,0
70,2011,England,Hospital,362,41,0.113,0.95,0.85,0.049,0.683,0.268,0,0.195,0.415,0.39,0,0.9,0.15,0.15,0.1,5.98,5.4,3.64,0.282,0.237,0.105,0.158,0.184,0.053,0.5,0.053,0.238,0.024,0.122,1,0.882,0.944,0.636,0.941,0.273,0.955,0.25,0.2,0.833,1,0.833,0
