audit_year,Country,Hospital/Site,Hospital Beds (HC),Diabetic Patients (BA),Prevalence of diabetes,Percentage White,Percentage emergency,Percentage Mangement of diabetes,Percentage other medical,Percentage Non Medical,Percentage Diabetes Type 1,Percentage Diabetes Type 2 - Insulin,Percentage Diabetes Type 2 - Non insulin,Percentage Diabetes Type 2 - Diet only,Percentage Diabetes Type Other,Nursing hours,Consultant hours,Dietician hours,Podiatrist hours, Blood Glucose monitoring Days , Appropriate Days , Good Diabetes Days ,Visit by specialist diabetes team,Medication errors,prescription errors,management errors,Insulin Errors,Admitted with foot disease,Seen by the MDT within 24 hours,Foot Risk Assessment completed within 24 hours,Foot Risk Assessment completed during the hospital stay,% Severe Hypo,% Minor Hypo,Meals Suitable,Meals Timing,Meals Choice,Staff Knowledge - Answer Qs,Staff Knowledge - Emotional support,Staff Knowledge - Work together,Overall Satisfaction,Patient reported unexpected high,Patient reported unexpected low,Able to take control of diabetes care,Staff aware of diabetes,some all or most staff know enough about diabetes,Percentage renal replacement therapy
2011,England,Site,677,95,14.00%,98.90%,85.30%,8.40%,57.90%,33.70%,5.30%,30.90%,36.20%,26.60%,1.10%,0.53,0.05,0.12,0.05,6.47,6.08,4.32,15.40%,35.10%,28.40%,21.60%,23.00%,8.00%,66.70%,9.50%,6.30%,12.60%,24.20%,87.30%,75.80%,75.00%,46.20%,82.60%,48.50%,76.80%,28.40%,25.40%,54.80%,72.20%,55.90%,1.10%
2011,England,Hospital,403,58,14.40%,100.00%,94.70%,15.80%,77.20%,7.00%,8.80%,38.60%,43.90%,8.80%,0.00%, -   ,0.34,0.6,0.17,6.73,6.35,4.87,26.80%,29.20%,14.60%,16.70%,10.40%,17.00%,25.00%,16.70%,23.60%,15.50%,29.30%,94.40%,84.40%,85.30%,57.90%,91.70%,59.50%,81.10%,22.90%,20.00%,74.20%,91.40%,77.80%,0.00%
2011,England,Hospital,234,37,15.80%,100.00%,97.30%,5.40%,70.30%,24.30%,5.40%,16.20%,48.60%,27.00%,2.70%,1.08,0.05,0.27,0.03,6.72,6.2,4.45,11.80%,23.50%,20.60%,17.60%,20.60%,9.40%,33.30%,27.30%,35.10%,2.70%,10.80%,78.60%,92.30%,65.40%,55.60%,94.10%,48.10%,89.30%,14.30%,21.40%,78.30%,77.80%,51.90%,0.00%
2011,England,Hospital,292,63,21.60%,88.70%,83.90%,9.50%,66.70%,23.80%,4.90%,37.70%,41.00%,16.40%,0.00%,0.59,0.19,0.22, -   ,6.79,6.49,3.8,32.00%,27.90%,9.80%,24.60%,13.10%,15.10%,100.00%,23.10%,25.50%,7.90%,19.00%,95.20%,88.10%,92.90%,81.80%,95.00%,52.40%,90.90%,28.90%,20.00%,50.00%,88.90%,72.10%,0.00%
2011,England,Hospital,248,52,21.00%,40.40%,76.90%,5.90%,68.60%,25.50%,7.80%,45.10%,37.30%,7.80%,2.00%,0.77,0.31,0.15, -   ,6.82,6.66,4.47,41.20%,36.70%,24.50%,16.30%,12.20%,10.40%,80.00%,14.60%,18.90%,17.30%,17.30%,73.90%,52.40%,35.00%,31.60%,71.40%,52.00%,76.00%,17.40%,30.40%,42.90%,58.30%,54.20%,1.90%
2011,England,Hospital,489,86,17.60%,75.30%,90.70%,8.10%,70.90%,20.90%,1.20%,30.60%,54.10%,14.10%,0.00%,0.69,0.23,0.15,0.03,6.86,5.83,3.84,38.10%,34.10%,20.70%,23.20%,13.40%,9.60%,42.90%,4.80%,16.70%,16.30%,29.10%,87.50%,86.40%,62.50%,50.00%,72.20%,32.00%,87.00%,30.80%,15.40%,53.80%,80.80%,72.00%,0.00%
2011,England,Hospital,591,92,15.60%,98.80%,86.80%,11.00%,63.70%,25.30%,5.50%,25.30%,45.10%,24.20%,0.00%,0.71,0.07,0.2,0.07,6.72,6.14,4.37,25.30%,25.30%,22.90%,6.00%,13.30%,11.30%,77.80%,17.50%,22.40%,5.40%,12.00%,72.00%,60.00%,52.00%,42.10%,81.80%,50.00%,73.10%,28.00%,20.00%,75.00%,80.00%,53.80%,0.00%
2011,England,Hospital,197,26,13.20%,100.00%,96.00%,16.00%,68.00%,16.00%,7.70%,50.00%,26.90%,15.40%,0.00%,0.69,0.19,0.23, -   ,6.71,5.87,3.51,38.50%,30.40%,21.70%,17.40%,30.40%,20.80%,75.00%,46.20%,78.80%,23.10%,42.30%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%
2011,England,Hospital,219,32,14.60%,96.80%,84.40%,12.50%,62.50%,25.00%,12.50%,43.80%,18.80%,25.00%,0.00%,1.52,0.31,0.03,0.09,7,6.92,4.13,28.10%,40.60%,34.40%,21.90%,37.50%,3.10%,100.00%,15.60%,27.80%,15.60%,25.00%,83.30%,78.30%,81.80%,56.30%,87.50%,56.00%,76.00%,16.70%,25.00%,52.20%,84.00%,66.70%,0.00%
2011,England,Hospital,275,46,16.70%,93.50%,88.90%,17.40%,58.70%,23.90%,13.00%,26.10%,39.10%,21.70%,0.00%,0.7,0.26, -   ,0.03,6.69,6.14,3.39,33.30%,31.40%,20.00%,20.00%,20.00%,14.60%,66.70%,20.50%,88.60%,8.70%,30.40%,100.00%,91.30%,73.90%,66.70%,93.30%,60.90%,100.00%,19.20%,19.20%,73.90%,84.60%,69.60%,0.00%
2011,England,Hospital,421,86,20.40%,97.60%,91.80%,9.30%,68.60%,22.10%,10.50%,26.70%,47.70%,14.00%,1.20%,0.72,0.07,0.19,0.26,6.77,6.75,4.35,52.30%,22.50%,18.80%,7.50%,8.80%,9.50%,57.10%,46.70%,25.80%,18.60%,36.00%,100.00%,87.50%,83.30%,86.70%,92.90%,54.50%,95.70%,16.70%,20.80%,82.60%,87.50%,78.30%,2.40%
2011,England,Hospital,543,71,13.10%,98.60%,88.70%,8.60%,70.00%,21.40%,7.20%,27.50%,46.40%,18.80%,0.00%,0.96,0.45,0.1,0.06,6.78,6.43,3.66,31.40%,46.50%,39.40%,14.10%,22.50%,10.10%,71.40%,35.30%,18.80%,19.70%,29.60%,77.60%,72.10%,65.90%,46.40%,85.70%,52.10%,79.60%,34.70%,26.50%,64.30%,76.00%,69.40%,2.90%
2011,England,Hospital,406,69,17.00%,98.50%,91.20%,4.30%,75.40%,20.30%,5.90%,30.90%,30.90%,30.90%,1.50%,0.45,0.07,0.04,0.03,6.7,5.66,3.69,37.90%,36.50%,33.30%,17.50%,22.20%,9.10%,0.00%,14.00%,44.60%,8.70%,29.00%,100.00%,82.40%,85.70%,75.00%,60.00%,47.10%,83.30%,11.80%,17.60%,58.80%,77.80%,77.80%,0.00%
2011,England,Hospital,398,71,17.80%,72.30%,94.40%,8.60%,75.70%,15.70%,0.00%,24.60%,62.30%,13.00%,0.00%,0.03,0.24,0.01, -   ,6.72,6.69,4.37,24.20%,27.70%,9.20%,20.00%,7.70%,8.80%,25.00%,90.00%,89.90%,8.50%,26.80%,90.90%,80.00%,66.70%,61.10%,90.00%,34.20%,86.80%,36.10%,27.80%,55.90%,91.70%,69.40%,0.00%
2011,England,Hospital,351,44,12.50%,93.00%,90.70%,7.00%,76.70%,16.30%,9.30%,30.20%,34.90%,23.30%,2.30%,1.36,0.18, -   ,0.27,6.98,5.89,4.14,26.20%,34.20%,23.70%,15.80%,21.10%,13.20%,80.00%,26.30%,27.80%,22.70%,25.00%,61.50%,50.00%,33.30%,25.00%,37.50%,18.20%,58.30%,15.40%,23.10%,81.80%,92.30%,38.50%,2.30%
2011,England,Hospital,562,81,14.40%,96.20%,87.30%,10.10%,70.90%,19.00%,5.00%,43.80%,37.50%,13.80%,0.00%,0.12,0.15, -   , -   ,6.96,6.9,3.85,38.20%,36.10%,26.40%,18.10%,22.20%,8.00%,16.70%,7.10%,73.00%,11.10%,32.10%,95.20%,89.50%,77.80%,33.30%,71.40%,50.00%,95.00%,40.00%,50.00%,50.00%,81.00%,71.40%,5.00%
2011,England,Site,543,91,16.80%,98.90%,88.90%,6.70%,65.20%,28.10%,7.00%,26.70%,34.90%,29.10%,2.30%,0.31,0.04,0.13, -   ,6.14,5.94,3.9,28.40%,8.90%,8.90%,0.00%,5.10%,10.80%,28.60%,35.90%,18.70%,9.90%,24.20%,87.70%,89.60%,78.80%,61.10%,91.40%,38.60%,86.40%,12.10%,20.70%,65.30%,84.50%,71.90%,3.50%
2011,England,Hospital,463,55,11.90%,98.20%,81.80%,9.30%,64.80%,25.90%,3.60%,16.40%,45.50%,34.50%,0.00%,1.36,0.65, -   ,0.33,6.58,6.54,4.06,52.70%,28.30%,22.60%,11.30%,11.30%,17.80%,33.30%,22.20%,42.00%,7.30%,25.50%,90.90%,90.90%,81.80%,62.50%,100.00%,40.90%,76.20%,27.30%,13.60%,71.40%,86.40%,59.10%,0.00%
2011,England,Hospital,284,47,16.50%,97.90%,91.10%,6.40%,72.30%,21.30%,4.30%,29.80%,34.00%,31.90%,0.00%,2.36,0.34,0.79,1.57,6.68,6.38,4.27,48.90%,19.60%,8.70%,10.90%,8.70%,2.40%,100.00%,2.30%,20.40%,6.40%,14.90%,78.60%,64.30%,53.30%,57.10%,58.30%,46.20%,80.00%,33.30%,13.30%,86.70%,81.30%,37.50%,0.00%
2011,England,Hospital,504,66,13.10%,100.00%,83.60%,14.30%,61.90%,23.80%,4.80%,34.90%,44.40%,15.90%,0.00%,1.11,0.36,0.11,0.16,6.68,5.88,3.42,29.70%,40.80%,32.70%,14.30%,24.50%,15.40%,50.00%,5.30%,34.50%,6.10%,10.60%,89.50%,88.90%,88.90%,92.90%,100.00%,73.70%,94.70%,26.30%,15.80%,60.00%,94.70%,78.90%,3.10%
2011,England,Site,1010,110,10.90%,73.10%,87.60%,12.10%,69.20%,18.70%,2.80%,40.20%,45.80%,11.20%,0.00%,1.78,0.44,0.11,0.04,6.6,6.24,4.28,26.20%,32.20%,16.10%,20.70%,21.80%,6.00%,100.00%,14.90%,17.50%,8.20%,10.00%,61.90%,61.90%,57.10%,55.60%,77.80%,36.40%,95.00%,13.60%,18.20%,85.70%,86.40%,54.50%,1.00%
2011,England,Hospital,441,61,13.80%,98.40%,88.50%,9.80%,70.50%,19.70%,6.70%,23.30%,48.30%,21.70%,0.00%,0.54,0.49,0.1,0.06,6.04,5.67,3.3,13.60%,24.00%,14.00%,12.00%,8.00%,10.40%,20.00%,7.10%,20.30%,8.20%,11.50%,100.00%,96.00%,91.30%,83.30%,95.50%,65.50%,96.60%,10.30%,6.90%,70.80%,82.80%,75.90%,0.00%
2011,England,Hospital,498,76,15.30%,100.00%,88.20%,11.80%,56.60%,31.60%,3.90%,21.10%,39.50%,31.60%,3.90%,0.53,0.01,0.01, -   ,6.43,5.88,4.12,23.70%,26.30%,13.20%,15.80%,13.20%,12.20%,77.80%,12.00%,19.40%,5.30%,22.40%,89.80%,84.90%,70.00%,25.90%,73.50%,40.70%,88.10%,16.90%,22.00%,68.00%,76.30%,64.90%,1.30%
2011,England,Hospital,233,39,16.70%,61.10%,97.40%,17.90%,53.80%,28.20%,5.30%,31.60%,50.00%,13.20%,0.00%,0.88,0.51,0.21, -   ,6.82,6.74,4.27,14.30%,30.30%,15.20%,18.20%,12.10%,7.10%,100.00%,40.70%,20.60%,12.80%,41.00%,95.00%,87.50%,85.70%,61.50%,73.30%,57.90%,100.00%,61.10%,50.00%,80.00%,85.00%,63.20%,2.70%
2011,England,Hospital,543,73,13.40%,67.10%,80.60%,11.00%,60.30%,28.80%,1.40%,25.00%,58.30%,15.30%,0.00%,0.16,0.16, -   ,0.16,6.68,6.64,4.38,25.70%,34.80%,18.80%,20.30%,14.50%,8.50%,80.00%,66.00%,67.80%,8.20%,20.50%,71.40%,66.70%,50.00%,34.80%,77.80%,31.80%,71.10%,20.50%,20.50%,74.30%,76.10%,51.10%,1.40%
2011,England,Hospital,460,74,16.10%,98.60%,87.70%,4.10%,54.80%,41.10%,12.50%,31.90%,43.10%,12.50%,0.00%,0.61,0.27,0.11,0.2,6.74,6.4,4.32,38.60%,31.00%,19.70%,18.30%,19.70%,15.50%,66.70%,34.50%,23.70%,4.10%,13.50%,91.30%,88.60%,78.60%,65.40%,80.60%,39.60%,85.40%,20.00%,22.20%,75.60%,85.40%,77.10%,1.40%
2011,England,Hospital,375,62,16.50%,98.30%,90.30%,8.10%,56.50%,35.50%,3.30%,25.00%,51.70%,20.00%,0.00%,0.32,0.23,0.24,0.35,6.69,6.5,4.92,24.60%,22.80%,17.50%,7.00%,5.30%,7.10%,25.00%,7.10%,6.90%,8.10%,9.70%,94.40%,72.20%,76.50%,60.00%,83.30%,38.90%,100.00%,26.30%,15.80%,85.70%,100.00%,66.70%,1.60%
2011,England,Hospital,473,77,16.30%,98.70%,85.50%,13.20%,60.50%,26.30%,7.80%,32.50%,42.90%,16.90%,0.00%,0.27,0.3, -   ,0.08,6.88,6.52,4.56,22.70%,36.80%,19.10%,26.50%,19.10%,11.90%,80.00%,67.20%,50.00%,9.10%,19.50%,86.70%,71.10%,68.90%,52.90%,82.80%,55.30%,88.00%,34.20%,44.70%,73.70%,96.00%,75.00%,0.00%
2011,England,Hospital,397,72,18.10%,100.00%,88.70%,11.30%,74.60%,14.10%,2.90%,45.60%,26.50%,25.00%,0.00%,0.72,0.15,0.03,0.03,6.8,6.19,3.13,37.10%,27.10%,1.70%,25.40%,18.60%,11.90%,42.90%,11.90%,30.60%,5.60%,13.90%,79.40%,78.80%,85.30%,51.70%,89.30%,42.50%,92.70%,33.30%,12.80%,72.20%,87.50%,72.50%,1.40%
2011,England,Hospital,815,113,13.90%,98.20%,73.60%,9.30%,57.40%,33.30%,15.50%,36.40%,27.30%,13.60%,7.30%,0.27,0.23, -   ,0.04,6.74,6.09,3.55,21.50%,37.10%,24.70%,22.50%,33.70%,18.40%,35.70%,23.30%,36.80%,8.00%,17.70%,100.00%,100.00%,66.70%,100.00%,100.00%,66.70%,100.00%,25.00%,25.00%,100.00%,100.00%,100.00%,6.80%
2011,England,Hospital,547,75,13.70%,98.60%,72.60%,9.30%,68.00%,22.70%,12.50%,30.60%,37.50%,18.10%,1.40%,0.85,0.16, -   , -   ,6.62,6.35,3.64,25.30%,50.70%,43.50%,15.90%,21.70%,9.00%,50.00%,11.90%,30.50%,10.70%,22.70%,95.20%,87.20%,83.30%,81.80%,96.20%,68.30%,90.20%,28.60%,31.00%,71.10%,92.70%,76.90%,8.10%
2011,England,Hospital,951,121,12.70%,93.10%,71.20%,4.20%,65.00%,30.80%,5.90%,26.90%,45.40%,17.60%,4.20%,0.32,0.04,0.22,0.05,6.61,6.35,3.89,17.50%,42.30%,27.90%,26.00%,26.00%,7.30%,87.50%,8.30%,22.70%,2.50%,21.50%,81.50%,62.30%,68.90%,43.10%,70.60%,43.10%,87.70%,18.50%,23.10%,57.90%,79.70%,60.30%,0.00%
2011,England,Site,1472,253,17.20%,92.40%,77.40%,7.50%,61.10%,31.30%,6.00%,32.10%,35.70%,24.20%,2.00%,1.04,0.43, -   ,0.54,6.49,6.24,4.14,37.40%,32.90%,19.60%,20.50%,18.30%,8.80%,82.40%,10.90%,24.30%,8.30%,18.60%,86.00%,80.20%,69.10%,62.90%,83.90%,48.60%,85.60%,24.60%,26.10%,67.70%,84.90%,70.70%,4.90%
2011,England,Hospital,710,112,15.80%,97.20%,81.30%,9.80%,67.00%,23.20%,12.50%,38.40%,34.80%,13.40%,0.90%,0.55,0.32, -   , -   ,6.47,6.08,3.36,39.40%,35.00%,17.00%,24.00%,20.00%,10.40%,100.00%,21.60%,26.70%,6.30%,19.60%,79.50%,66.70%,54.80%,46.20%,86.40%,35.60%,89.10%,22.70%,43.20%,73.80%,97.80%,68.90%,10.00%
2011,England,Hospital,258,42,16.30%,100.00%,90.20%,15.00%,62.50%,22.50%,11.10%,50.00%,30.60%,8.30%,0.00%,0.85,0.05,0.17, -   ,6.5,6.19,4.06,32.50%,33.30%,23.30%,16.70%,23.30%,11.10%,100.00%,39.30%,87.90%,14.30%,28.60%,72.20%,84.20%,66.70%,61.50%,82.40%,42.90%,85.70%,45.00%,50.00%,64.70%,85.00%,72.70%,0.00%
2011,England,Hospital,505,66,13.10%,92.20%,78.50%,7.60%,80.30%,12.10%,11.10%,34.90%,46.00%,7.90%,0.00%,1.42,0.12,0.02,0.35,6.78,5.73,4.12,64.60%,30.00%,10.00%,21.70%,15.00%,5.20%,33.30%,3.40%,13.60%,10.60%,30.30%,90.00%,78.40%,81.60%,53.30%,90.00%,51.20%,87.50%,36.80%,34.20%,77.80%,92.50%,67.50%,4.70%
2011,England,Hospital,438,99,22.60%,74.00%,78.10%,12.10%,60.60%,27.30%,5.30%,45.30%,34.70%,13.70%,1.10%,0.7,0.1, -   ,0.18,6.51,6.32,4.05,22.90%,27.20%,13.60%,21.00%,14.80%,10.50%,50.00%,13.10%,28.60%,5.10%,18.20%,71.90%,68.50%,56.90%,59.50%,78.20%,48.40%,85.30%,23.40%,21.90%,55.20%,87.90%,82.50%,1.10%
2011,England,Hospital,352,65,18.50%,71.90%,85.90%,9.20%,76.90%,13.80%,3.20%,58.70%,22.20%,9.50%,6.30%,1.12,0.37,0.29,0.25,6.82,6.02,3.47,29.20%,30.00%,11.70%,21.70%,11.70%,7.00%,25.00%,7.00%,24.00%,6.20%,13.80%,90.00%,100.00%,55.60%,66.70%,85.70%,55.60%,88.90%,37.50%,0.00%,55.60%,90.00%,50.00%,1.50%
2011,England,Site,294,31,10.50%,56.70%,83.30%,6.70%,73.30%,20.00%,16.10%,25.80%,51.60%,6.50%,0.00%,0.65,0.32, -   , -   ,6.74,6.44,4.28,6.70%,27.60%,24.10%,3.40%,20.70%,15.40%,100.00%,11.50%,32.00%,6.50%,16.10%,91.30%,81.00%,66.70%,61.50%,92.30%,40.90%,82.60%,18.20%,40.90%,50.00%,95.70%,82.60%,3.20%
2011,England,Hospital,185,29,15.70%,100.00%,86.20%,13.80%,62.10%,24.10%,14.30%,39.30%,25.00%,21.40%,0.00%,1.91,0.55, -   ,0.14,6.88,6.58,4.22,31.00%,34.50%,20.70%,17.20%,24.10%,7.10%,0.00%,7.70%,11.90%,6.90%,20.70%,95.00%,72.20%,75.00%,78.60%,90.00%,71.40%,90.50%,16.70%,16.70%,70.60%,100.00%,84.20%,0.00%
2011,England,Site,771,124,16.10%,94.30%,85.10%,10.50%,68.50%,21.00%,9.90%,37.20%,34.70%,18.20%,0.00%,0.36,0.06, -   ,0.15,6.42,6.01,3.77,21.70%,33.30%,21.90%,22.80%,17.50%,10.50%,50.00%,18.50%,25.20%,16.90%,22.60%,88.40%,82.80%,72.60%,66.70%,88.90%,58.50%,89.40%,26.90%,19.40%,68.10%,94.70%,73.70%,3.30%
2011,England,Hospital,295,45,15.30%,97.80%,97.80%,7.00%,67.40%,25.60%,6.70%,17.80%,53.30%,22.20%,0.00%,0.71,0.27,0.33,0.07,6.78,5.57,3.87,26.70%,33.30%,20.50%,17.90%,17.90%,7.30%,0.00%,4.90%,3.00%,13.30%,24.40%,96.00%,95.70%,90.90%,83.30%,95.00%,65.40%,96.20%,40.70%,25.90%,70.80%,92.60%,80.00%,0.00%
2011,England,Hospital,281,51,18.10%,98.00%,82.00%,2.00%,78.40%,19.60%,5.90%,29.40%,41.20%,21.60%,2.00%,0.59,0.31,0.08,0.06,6.3,5.91,3.79,52.90%,26.50%,14.30%,14.30%,14.30%,4.30%,0.00%,10.60%,14.00%,5.90%,17.60%,92.90%,86.40%,86.40%,36.80%,90.50%,71.40%,86.70%,13.80%,31.00%,69.00%,86.20%,72.40%,0.00%
2011,England,Hospital,286,49,17.10%,100.00%,89.80%,8.20%,53.10%,38.80%,10.20%,55.10%,14.30%,20.40%,0.00%, -   ,0.27, -   , -   ,6.63,6.23,4.54,8.20%,29.80%,27.70%,17.00%,19.10%,4.50%,0.00%,11.60%,12.20%,10.20%,16.30%,88.90%,85.70%,73.10%,73.30%,87.50%,43.30%,83.90%,14.30%,14.30%,75.90%,80.60%,64.30%,0.00%
2011,England,Hospital,414,70,16.90%,100.00%,87.00%,13.00%,65.20%,21.70%,7.20%,24.60%,47.80%,20.30%,0.00%,0.46,0.09,0.03, -   ,6.81,6.04,5.18,54.40%,18.80%,13.00%,8.70%,4.30%,11.90%,85.70%,8.30%,13.80%,11.40%,15.70%,88.60%,92.90%,88.10%,50.00%,88.20%,62.20%,90.90%,17.80%,17.80%,78.00%,84.40%,76.70%,0.00%
2011,England,Hospital,823,123,14.90%,57.30%,79.80%,23.10%,63.90%,13.00%,9.20%,39.40%,32.10%,14.70%,4.60%,1.37,0.55, -   ,0.48,6.83,6.81,4.45,66.00%,33.00%,13.80%,20.20%,23.40%,21.40%,100.00%,30.20%,35.60%,10.90%,18.20%,77.40%,75.00%,62.50%,58.30%,82.60%,33.30%,71.90%,28.10%,43.80%,55.20%,93.90%,45.20%,5.60%
2011,England,Site,560,60,10.70%,100.00%,96.70%,20.00%,73.30%,6.70%,7.00%,33.30%,49.10%,10.50%,0.00%,0.55,0.17, -   ,0.4,6.6,6.52,4.25,35.00%,27.30%,10.90%,23.60%,16.40%,18.20%,100.00%,27.30%,13.30%,8.30%,25.00%,92.60%,76.00%,92.00%,52.60%,83.30%,48.00%,96.00%,29.60%,22.20%,78.30%,82.10%,73.10%,3.30%
2011,England,Hospital,783,113,14.40%,98.20%,87.20%,5.40%,59.80%,34.80%,7.40%,23.10%,51.90%,15.70%,1.90%,0.58,0.28,0.04,0.04,6.9,6.74,4.98,22.50%,24.50%,20.60%,9.80%,15.70%,10.90%,81.80%,33.00%,25.40%,5.30%,19.50%,94.40%,88.20%,80.00%,57.10%,92.60%,48.10%,83.60%,30.20%,20.80%,75.00%,87.00%,68.50%,6.40%
2011,England,Hospital,904,128,14.20%,81.00%,83.30%,5.60%,65.10%,29.40%,3.90%,49.20%,32.80%,12.50%,1.60%,0.13,0.05, -   ,0.02,6.66,6.2,3.88,16.00%,36.40%,25.60%,19.00%,19.80%,14.90%,10.00%,8.00%,26.60%,10.20%,22.70%,84.80%,76.20%,71.40%,51.90%,75.00%,22.70%,87.00%,17.40%,10.90%,75.70%,80.40%,66.70%,2.40%
